x,y,z
-0.17142837,-0.12329757,0.3002147
-0.17142837,-0.1212658,0.3002147
-0.17142837,-0.119234025,0.3002147
-0.17142837,-0.11720226,0.3002147
-0.17142837,-0.115170486,0.3002147
-0.17142837,-0.11313871,0.3002147
-0.17142837,-0.11110695,0.3002147
-0.17142837,-0.109075174,0.3002147
-0.17142837,-0.1070434,0.3002147
-0.17142837,-0.105011635,0.3002147
-0.17142837,-0.10297986,0.3002147
-0.17142837,-0.10094809,0.3002147
-0.17142837,-0.09891632,0.3002147
-0.17142837,-0.09688455,0.3002147
-0.17142837,-0.094852775,0.3002147
-0.17142837,-0.09282101,0.3002147
-0.17142837,-0.090789236,0.3002147
-0.17142837,-0.08875746,0.3002147
-0.17142837,-0.0867257,0.3002147
-0.17142837,-0.08469392,0.3002147
-0.17142837,-0.08266216,0.3002147
-0.17142837,-0.080630384,0.3002147
-0.17142837,-0.07859861,0.3002147
-0.17142837,-0.076566845,0.3002147
-0.17142837,-0.07453507,0.3002147
-0.17142837,-0.0725033,0.3002147
-0.17142837,-0.07047153,0.3002147
-0.17142837,-0.06843976,0.3002147
-0.17142837,-0.066407986,0.3002147
-0.17142837,-0.06437622,0.3002147
-0.17142837,-0.062344447,0.3002147
-0.17142837,-0.060312677,0.3002147
-0.17142837,-0.058280904,0.3002147
-0.17142837,-0.056249134,0.3002147
-0.17142837,-0.054217365,0.3002147
-0.17142837,-0.05218559,0.3002147
-0.17142837,-0.05015382,0.3002147
-0.17142837,-0.048122052,0.3002147
-0.17142837,-0.04609028,0.3002147
-0.17142837,-0.04405851,0.3002147
-0.17142837,-0.04202674,0.3002147
-0.17142837,-0.03999497,0.3002147
-0.17142837,-0.037963197,0.3002147
-0.17142837,-0.035931427,0.3002147
-0.17142837,-0.033899657,0.3002147
-0.17142837,-0.031867884,0.3002147
-0.17142837,-0.029836114,0.3002147
-0.17142837,-0.027804343,0.3002147
-0.17142837,-0.025772573,0.3002147
-0.17142837,-0.023740802,0.3002147
-0.17142837,-0.021709032,0.3002147
-0.17142837,-0.01967726,0.3002147
-0.17142837,-0.01764549,0.3002147
-0.17142837,-0.015613719,0.3002147
-0.17142837,-0.013581948,0.3002147
-0.17142837,-0.011550178,0.3002147
-0.17142837,-0.009518407,0.3002147
-0.17142837,-0.0074866363,0.3002147
-0.17142837,-0.0054548653,0.3002147
-0.17142837,-0.0034230947,0.3002147
-0.17142837,-0.001391324,0.3002147
-0.17142837,6.404468E-4,0.3002147
-0.17142837,0.0026722176,0.3002147
-0.17142837,0.0047039883,0.3002147
-0.17142837,0.006735759,0.3002147
-0.17142837,0.008767529,0.3002147
-0.17142837,0.010799301,0.3002147
-0.17142837,0.012831071,0.3002147
-0.17142837,0.014862842,0.3002147
-0.17142837,0.016894612,0.3002147
-0.17142837,0.018926384,0.3002147
-0.17142837,0.020958154,0.3002147
-0.17142837,0.022989925,0.3002147
-0.17142837,0.025021696,0.3002147
-0.17142837,0.027053466,0.3002147
-0.17142837,0.029085238,0.3002147
-0.17142837,0.031117009,0.3002147
-0.17142837,0.03314878,0.3002147
-0.17142837,0.03518055,0.3002147
-0.17142837,0.03721232,0.3002147
-0.17142837,0.03924409,0.3002147
-0.17142837,0.041275863,0.3002147
-0.17142837,0.043307632,0.3002147
-0.17142837,0.0453394,0.3002147
-0.17142837,0.047371175,0.3002147
-0.17142837,0.049402945,0.3002147
-0.17142837,0.051434714,0.3002147
-0.17142837,0.053466488,0.3002147
-0.17142837,0.055498257,0.3002147
-0.17142837,0.057530027,0.3002147
-0.17142837,0.0595618,0.3002147
-0.17142837,0.06159357,0.3002147
-0.17142837,0.06362534,0.3002147
-0.17142837,0.06565711,0.3002147
-0.17142837,0.06768888,0.3002147
-0.17142837,0.069720656,0.3002147
-0.17142837,0.07175242,0.3002147
-0.17142837,0.073784195,0.3002147
-0.17142837,0.07581597,0.3002147
-0.17142837,0.077847734,0.3002147
-0.17142837,0.07987951,0.3002147
-0.17142837,0.08191127,0.3002147
-0.17142837,0.08394305,0.3002147
-0.17142837,0.08597482,0.3002147
-0.17142837,0.088006586,0.3002147
-0.17142837,0.09003836,0.3002147
-0.17142837,0.09207013,0.3002147
-0.17142837,0.0941019,0.3002147
-0.17142837,0.09613367,0.3002147
-0.17142837,0.098165445,0.3002147
-0.17142837,0.10019721,0.3002147
-0.17142837,0.102228984,0.3002147
-0.17142837,0.10426076,0.3002147
-0.17142837,0.10629252,0.3002147
-0.17142837,0.1083243,0.3002147
-0.17142837,0.11035607,0.3002147
-0.17142837,0.112387836,0.3002147
-0.17142837,0.11441961,0.3002147
-0.17142837,0.11645138,0.3002147
-0.17142837,0.11848315,0.3002147
-0.16940744,-0.12329757,0.3002147
-0.16940744,-0.1212658,0.3002147
-0.16940744,-0.119234025,0.3002147
-0.16940744,-0.11720226,0.3002147
-0.16940744,-0.115170486,0.3002147
-0.16940744,-0.11313871,0.3002147
-0.16940744,-0.11110695,0.3002147
-0.16940744,-0.109075174,0.3002147
-0.16940744,-0.1070434,0.3002147
-0.16940744,-0.105011635,0.3002147
-0.16940744,-0.10297986,0.3002147
-0.16940744,-0.10094809,0.3002147
-0.16940744,-0.09891632,0.3002147
-0.16940744,-0.09688455,0.3002147
-0.16940744,-0.094852775,0.3002147
-0.16940744,-0.09282101,0.3002147
-0.16940744,-0.090789236,0.3002147
-0.16940744,-0.08875746,0.3002147
-0.16940744,-0.0867257,0.3002147
-0.16940744,-0.08469392,0.3002147
-0.16940744,-0.08266216,0.3002147
-0.16940744,-0.080630384,0.3002147
-0.16940744,-0.07859861,0.3002147
-0.16940744,-0.076566845,0.3002147
-0.16940744,-0.07453507,0.3002147
-0.16940744,-0.0725033,0.3002147
-0.16940744,-0.07047153,0.3002147
-0.16940744,-0.06843976,0.3002147
-0.16940744,-0.066407986,0.3002147
-0.16940744,-0.06437622,0.3002147
-0.16940744,-0.062344447,0.3002147
-0.16940744,-0.060312677,0.3002147
-0.16940744,-0.058280904,0.3002147
-0.16940744,-0.056249134,0.3002147
-0.16940744,-0.054217365,0.3002147
-0.16940744,-0.05218559,0.3002147
-0.16940744,-0.05015382,0.3002147
-0.16940744,-0.048122052,0.3002147
-0.16940744,-0.04609028,0.3002147
-0.16940744,-0.04405851,0.3002147
-0.16940744,-0.04202674,0.3002147
-0.16940744,-0.03999497,0.3002147
-0.16940744,-0.037963197,0.3002147
-0.16940744,-0.035931427,0.3002147
-0.16940744,-0.033899657,0.3002147
-0.16940744,-0.031867884,0.3002147
-0.16940744,-0.029836114,0.3002147
-0.16940744,-0.027804343,0.3002147
-0.16940744,-0.025772573,0.3002147
-0.16940744,-0.023740802,0.3002147
-0.16940744,-0.021709032,0.3002147
-0.16940744,-0.01967726,0.3002147
-0.16940744,-0.01764549,0.3002147
-0.16940744,-0.015613719,0.3002147
-0.16940744,-0.013581948,0.3002147
-0.16940744,-0.011550178,0.3002147
-0.16940744,-0.009518407,0.3002147
-0.16940744,-0.0074866363,0.3002147
-0.16940744,-0.0054548653,0.3002147
-0.16940744,-0.0034230947,0.3002147
-0.16940744,-0.001391324,0.3002147
-0.16940744,6.404468E-4,0.3002147
-0.16940744,0.0026722176,0.3002147
-0.16940744,0.0047039883,0.3002147
-0.16940744,0.006735759,0.3002147
-0.16940744,0.008767529,0.3002147
-0.16940744,0.010799301,0.3002147
-0.16940744,0.012831071,0.3002147
-0.16940744,0.014862842,0.3002147
-0.16940744,0.016894612,0.3002147
-0.16940744,0.018926384,0.3002147
-0.16940744,0.020958154,0.3002147
-0.16940744,0.022989925,0.3002147
-0.16940744,0.025021696,0.3002147
-0.16940744,0.027053466,0.3002147
-0.16940744,0.029085238,0.3002147
-0.16940744,0.031117009,0.3002147
-0.16940744,0.03314878,0.3002147
-0.16940744,0.03518055,0.3002147
-0.16940744,0.03721232,0.3002147
-0.16940744,0.03924409,0.3002147
-0.16940744,0.041275863,0.3002147
-0.16940744,0.043307632,0.3002147
-0.16940744,0.0453394,0.3002147
-0.16940744,0.047371175,0.3002147
-0.16940744,0.049402945,0.3002147
-0.16940744,0.051434714,0.3002147
-0.16940744,0.053466488,0.3002147
-0.16940744,0.055498257,0.3002147
-0.16940744,0.057530027,0.3002147
-0.16940744,0.0595618,0.3002147
-0.16940744,0.06159357,0.3002147
-0.16940744,0.06362534,0.3002147
-0.16940744,0.06565711,0.3002147
-0.16940744,0.06768888,0.3002147
-0.16940744,0.069720656,0.3002147
-0.16940744,0.07175242,0.3002147
-0.16940744,0.073784195,0.3002147
-0.16940744,0.07581597,0.3002147
-0.16940744,0.077847734,0.3002147
-0.16940744,0.07987951,0.3002147
-0.16940744,0.08191127,0.3002147
-0.16940744,0.08394305,0.3002147
-0.16940744,0.08597482,0.3002147
-0.16940744,0.088006586,0.3002147
-0.16940744,0.09003836,0.3002147
-0.16940744,0.09207013,0.3002147
-0.16940744,0.0941019,0.3002147
-0.16940744,0.09613367,0.3002147
-0.16940744,0.098165445,0.3002147
-0.16940744,0.10019721,0.3002147
-0.16940744,0.102228984,0.3002147
-0.16940744,0.10426076,0.3002147
-0.16940744,0.10629252,0.3002147
-0.16940744,0.1083243,0.3002147
-0.16940744,0.11035607,0.3002147
-0.16940744,0.112387836,0.3002147
-0.16940744,0.11441961,0.3002147
-0.16940744,0.11645138,0.3002147
-0.16940744,0.11848315,0.3002147
-0.16738653,-0.12329757,0.3002147
-0.16738653,-0.1212658,0.3002147
-0.16738653,-0.119234025,0.3002147
-0.16738653,-0.11720226,0.3002147
-0.16738653,-0.115170486,0.3002147
-0.16738653,-0.11313871,0.3002147
-0.16738653,-0.11110695,0.3002147
-0.16738653,-0.109075174,0.3002147
-0.16738653,-0.1070434,0.3002147
-0.16738653,-0.105011635,0.3002147
-0.16738653,-0.10297986,0.3002147
-0.16738653,-0.10094809,0.3002147
-0.16738653,-0.09891632,0.3002147
-0.16738653,-0.09688455,0.3002147
-0.16738653,-0.094852775,0.3002147
-0.16738653,-0.09282101,0.3002147
-0.16738653,-0.090789236,0.3002147
-0.16738653,-0.08875746,0.3002147
-0.16738653,-0.0867257,0.3002147
-0.16738653,-0.08469392,0.3002147
-0.16738653,-0.08266216,0.3002147
-0.16738653,-0.080630384,0.3002147
-0.16738653,-0.07859861,0.3002147
-0.16738653,-0.076566845,0.3002147
-0.16738653,-0.07453507,0.3002147
-0.16738653,-0.0725033,0.3002147
-0.16738653,-0.07047153,0.3002147
-0.16738653,-0.06843976,0.3002147
-0.16738653,-0.066407986,0.3002147
